#,title,releasedate,price,Score_rank,owners,playtime_median,developers,publishers
86,Basketball Pro Management 2015,"Nov 19, 2014",$9.99,N/A (N/A/69%),"0 .. 20,000",00:00 (00:00),"Umix Studios, Cyanide Studio",Nacon
87,Trailblazers,"May 8, 2018",$29.99,N/A (N/A/69%),"0 .. 20,000",00:00 (00:00),Supergonk,Rising Star Games
88,Super Inefficient Golf,"Mar 15, 2018",$4.99,N/A (N/A/69%),"0 .. 20,000",00:00 (00:00),34BigThings srl,34BigThings srl
89,Pro Cycling Manager 2018,"Jun 28, 2018",$14.99,N/A (N/A/69%),"50,000 .. 100,000",00:00 (00:00),Cyanide Studio,Focus Home Interactive
90,Bloodsports.TV,"Mar 30, 2015",$9.99,N/A (N/A/69%),"100,000 .. 200,000",00:00 (00:00),"Toadman Interactive, Fatshark",Fatshark
91,Devolver Bootleg,"Jun 9, 2019",$4.99,N/A (N/A/69%),"20,000 .. 50,000",00:00 (00:00),doinksoft,Devolver Digital
92,Pure Pool,"Jul 31, 2014",$2.99,N/A (N/A/68%),"20,000 .. 50,000",00:00 (00:00),VooFoo Studios,Ripstone
93,FIM Speedway Grand Prix 15,"Nov 30, 2015",N/A,N/A (N/A/68%),"50,000 .. 100,000",00:00 (00:00),SoftPlanet,SoftPlanet
94,RIDE,"Mar 27, 2015",$19.99,N/A (N/A/68%),"100,000 .. 200,000",00:00 (00:00),Milestone S.r.l.,Milestone S.r.l.
95,NBA Playgrounds,"May 8, 2017",N/A,N/A (N/A/67%),"200,000 .. 500,000",00:00 (00:00),Saber Interactive,"Mad Dog Games, LLC"
96,Ride 2,"Oct 7, 2016",$29.99,N/A (N/A/67%),"100,000 .. 200,000",00:00 (00:00),Milestone S.r.l.,Milestone S.r.l.
97,Virtua Tennis 4,"Jun 24, 2011",N/A,N/A (N/A/66%),"20,000 .. 50,000",00:00 (00:00),SEGA,SEGA
98,Pro Cycling Manager 2019,"Jun 27, 2019",$39.99,N/A (N/A/66%),"50,000 .. 100,000",00:00 (00:00),Cyanide Studio,Nacon
99,Antigraviator,"Jun 6, 2018",$19.99,N/A (N/A/65%),"0 .. 20,000",00:00 (00:00),Cybernetic Walrus,Iceberg Interactive
100,AO Tennis 2,"Jan 9, 2020",$49.99,N/A (N/A/65%),"20,000 .. 50,000",00:00 (00:00),Big Ant Studios,Nacon
101,SpiritSphere DX,"Jan 23, 2017",$9.99,N/A (N/A/64%),"0 .. 20,000",00:00 (00:00),Eendhoorn Games,Eendhoorn Games
102,Franchise Hockey Manager 3,"Oct 31, 2016",$19.99,N/A (N/A/64%),"0 .. 20,000",00:00 (00:00),"Out of the Park Developments, Minos Games",Out of the Park Developments
103,Pro Cycling Manager 2016,"Jun 16, 2016",$9.99,N/A (N/A/64%),"50,000 .. 100,000",00:00 (00:00),Cyanide Studio,Focus Home Interactive
104,Xenon Racer,"Mar 26, 2019",$19.99,N/A (N/A/64%),"0 .. 20,000",00:00 (00:00),3DClouds,SOEDESCO
105,WWE 2K18,"Oct 17, 2017",$59.99,N/A (N/A/64%),"200,000 .. 500,000",00:00 (00:00),"Visual Concepts, Yuke's Co., LTD",2K
106,GUTS,"Nov 15, 2017",$9.99,N/A (N/A/63%),"0 .. 20,000",00:00 (00:00),Flux Games Inc.,Libredia Entertainment
107,Football Drama,"Sep 18, 2019",$11.99,N/A (N/A/63%),"0 .. 20,000",00:00 (00:00),Open Lab Games & Demigiant,Open Lab Games
108,Vertiginous Golf,"Mar 7, 2014",$9.99,N/A (N/A/63%),"200,000 .. 500,000",00:00 (00:00),Kinelco & Lone Elk Creative,Fellow Traveller
109,Chess 2: The Sequel,"Aug 19, 2014",$5.99,N/A (N/A/62%),"20,000 .. 50,000",00:00 (00:00),"Ludeme Games, Sirlin Games",Ludeme Games
110,Gravel,"Feb 27, 2018",$29.99,N/A (N/A/62%),"50,000 .. 100,000",00:00 (00:00),Milestone S.r.l.,Milestone S.r.l.
111,Need for Speed Payback,"Jun 18, 2020",$29.99,N/A (N/A/62%),"500,000 .. 1,000,000",00:00 (00:00),Ghost Games,Electronic Arts
112,WWE 2K17,"Feb 6, 2017",$49.99,N/A (N/A/61%),"200,000 .. 500,000",00:00 (00:00),"Visual Concepts, Yuke's Co., LTD",2K
113,F1 2014,"Oct 16, 2014",$6.99,N/A (N/A/61%),"200,000 .. 500,000",00:00 (00:00),Codemasters,"Codemasters, Electronic Arts"
114,F1 2015,"Jul 9, 2015",$4.99,N/A (N/A/61%),"2,000,000 .. 5,000,000",00:00 (00:00),"Codemasters, Feral Interactive (Linux)","Codemasters, Feral Interactive (Linux)"
115,Fight Crab,"Jul 29, 2020",$19.99,N/A (N/A/60%),"0 .. 20,000",00:00 (00:00),Calappa Games,PLAYISM
